id,title,year,critic_score,type,original_language
784,Halloween,2018,79,Horror,English
802,Spider-Man: Into the Spider-Verse,2018,97,Kids & Family,English
808,Incredibles 2,2018,93,Kids & Family,English
854,Ralph Breaks the Internet,2018,88,Kids & Family,English
880,Teen Titans GO! to the Movies,2018,91,Kids & Family,English
1003,Mission: Impossible -- Fallout,2018,97,Mystery & Suspense,English
1007,A Quiet Place,2018,96,Mystery & Suspense,English
1071,Burning,2018,95,Mystery & Suspense,Korean
1077,Searching,2018,92,Mystery & Suspense,English
1093,Border,2018,97,Mystery & Suspense,Swedish
1124,Ash Is Purest White,2018,99,Romance,Chinese
1148,Cold War,2018,92,Romance,Polish
1159,Border,2018,97,Romance,Swedish
1180,Gloria Bell,2018,91,Romance,English
1197,To All the Boys I've Loved Before,2018,96,Romance,English
1200,Black Panther,2018,96,Science Fiction & Fantasy,English
1205,Spider-Man: Into the Spider-Verse,2018,97,Science Fiction & Fantasy,English
1234,Sorry to Bother You,2018,93,Science Fiction & Fantasy,English
1237,Avengers: Infinity War,2018,85,Science Fiction & Fantasy,English
1238,Ant-Man and The Wasp,2018,87,Science Fiction & Fantasy,English
1291,Border,2018,97,Science Fiction & Fantasy,Swedish
1293,Annihilation,2018,88,Science Fiction & Fantasy,English
1,Avengers: Endgame,2019,94,Action & Adventure,English
14,Spider-Man: Far From Home,2019,90,Action & Adventure,English
24,Shazam!,2019,90,Action & Adventure,English
57,John Wick: Chapter 3 -- Parabellum,2019,89,Action & Adventure,English
75,The Peanut Butter Falcon,2019,94,Action & Adventure,English
78,Captain Marvel,2019,79,Action & Adventure,English
401,Toy Story 4,2019,97,Comedy,English
406,Booksmart,2019,96,Comedy,English
409,The Farewell,2019,97,Comedy,English
414,Once Upon a Time... In Hollywood,2019,85,Comedy,English
464,Fighting With My Family,2019,93,Comedy,English
475,Saint Frances,2019,99,Comedy,English
479,Blow the Man Down,2019,98,Comedy,English
602,Parasite,2019,98,Drama,Korean
603,Avengers: Endgame,2019,94,Drama,English
605,Knives Out,2019,97,Drama,English
609,The Irishman,2019,95,Drama,English
619,Portrait of a Lady on Fire,2019,98,Drama,French (France)
620,The Farewell,2019,97,Drama,English
631,Marriage Story,2019,94,Drama,English
635,Once Upon a Time... In Hollywood,2019,85,Drama,English
642,1917,2019,89,Drama,English
657,Pain and Glory,2019,96,Drama,Spanish (Spain)
680,Dolemite Is My Name,2019,97,Drama,English
687,The Lighthouse,2019,90,Drama,English
700,Us,2019,93,Horror,English
711,The Lighthouse,2019,90,Horror,English
736,Ready or Not,2019,88,Horror,English
737,La llorona,2019,98,Horror,Spanish
743,Midsommar,2019,83,Horror,English
753,Harpoon,2019,97,Horror,English
771,The Mortuary Collection,2019,95,Horror,English
790,Color Out of Space,2019,86,Horror,English
800,Toy Story 4,2019,97,Kids & Family,English
844,How to Train Your Dragon: The Hidden World,2019,90,Kids & Family,English
875,The Kid Who Would Be King,2019,89,Kids & Family,English
879,Klaus,2019,94,Kids & Family,English
1001,Knives Out,2019,97,Mystery & Suspense,English
1002,Us,2019,93,Mystery & Suspense,English
1005,The Irishman,2019,95,Mystery & Suspense,English
1076,Blow the Man Down,2019,98,Mystery & Suspense,English
1083,The Vast of Night,2019,92,Mystery & Suspense,English
1140,Saint Frances,2019,99,Romance,English
1158,Atlantics,2019,96,Romance,Wolof
1201,Avengers: Endgame,2019,94,Science Fiction & Fantasy,English
1202,Toy Story 4,2019,97,Science Fiction & Fantasy,English
1216,Spider-Man: Far From Home,2019,90,Science Fiction & Fantasy,English
1223,Shazam!,2019,90,Science Fiction & Fantasy,English
1232,The Lighthouse,2019,90,Science Fiction & Fantasy,English
1272,Captain Marvel,2019,79,Science Fiction & Fantasy,English
1279,The Vast of Night,2019,92,Science Fiction & Fantasy,English
79,Onward,2020,88,Action & Adventure,English
448,Palm Springs,2020,95,Comedy,English
469,The Forty-Year-Old Version,2020,98,Comedy,English
